city,newcity1,newcountry1
bethel park,bethel park,
bethesda,bethesda,
bethesda/rockville,bethesdarockville,
bethesten&#44 kent (uk/england),bethesten44 kent,uk
bethleham,bethleham,
bethlehem,bethlehem,
bethlehem township,bethlehem township,
bethlehen,bethlehen,
bethlem,bethlem,
bethpage,bethpage,
bethpage ( long island),bethpage,long island
bettendorf,bettendorf,
bettendorf/davenport,bettendorfdavenport,
betteravia,betteravia,
between orlando &amp; daytona,between orlando amp daytona,
beulaville,beulaville,
beverly,beverly,
beverly beach,beverly beach,
beverly hills,beverly hills,
beverly hills (adjacent),beverly hills,adjacent
beverly hills/ los angeles,beverly hills los angeles,
beverly shores,beverly shores,
bevington,bevington,
bexley,bexley,
beynes (france),beynes,france
bhandara (near nagpur) (india),bhandara,india
bhopal,bhopal,
bhubaneswar (india),bhubaneswar,india
bhuj (india),bhuj,india
bicester (uk/england),bicester,uk
bicester&#44 oxfordshire (uk/england),bicester44 oxfordshire,uk
bickerton (near wetherby) (uk/england),bickerton,uk
bicknell,bicknell,
biddeford,biddeford,
bideford (uk/england),bideford,uk
bierenbachtal (germany),bierenbachtal,germany
biesenthal (germany),biesenthal,germany
big arm,big arm,
big bay,big bay,
big bear,big bear,
big bear city,big bear city,
big bear lake,big bear lake,
big bear lake area,big bear lake area,
big bend,big bend,
big bend natinal park,big bend natinal park,
big bend national park,big bend national park,
big cane (plaucheville area),big cane,plaucheville area
big cedar,big cedar,
big cypress parks,big cypress parks,
big cypress preserve,big cypress preserve,
big horn mtns,big horn mtns,
big kandiyohi lake,big kandiyohi lake,
big lake,big lake,
big lake township,big lake township,
big oak valley,big oak valley,
big pine,big pine,
big pine key,big pine key,
big pines,big pines,
big rapids,big rapids,
big rock,big rock,
big sandy,big sandy,
big sky,big sky,
big spring,big spring,
big stone gap,big stone gap,
big sur,big sur,
big sur (lucia),big sur,lucia
big sur (monterey co.),big sur,monterey co
bigelow,bigelow,
bigfork,bigfork,
biggar (south lanarkshire) (uk/scotland),biggar,south lanarkshire uk
biggs,biggs,
bighorn (municipal district) (canada),bighorn,canada
biglake,biglake,
biglerville,biglerville,
bilaspur (india),bilaspur,india
bilbao,bilbao,
bilbao (spain),bilbao,spain
bill,bill,
billerica,billerica,
billericay (uk/england),billericay,uk
billingham (uk/england),billingham,uk
billings,billings,
billings (southeast of),billings,southeast of
billings-lockwood,billingslockwood,
billings/laurel,billingslaurel,
biloxi,biloxi,
bilxoi,bilxoi,
bingen,bingen,
binghamton,binghamton,
binghamton (40 south of kbgm),binghamton,40 south of kbgm
binghamton (south of&#44 81 south&#44 near pa border),binghamton,
biola,biola,
birch bay,birch bay,
birch run,birch run,
birch tree,birch tree,
birchy bay (canada),birchy bay,canada
bird in hand,bird in hand,
birdsville (australia),birdsville,australia
birkenhead (uk/england),birkenhead,uk
birkshire county,birkshire county,
birmingham,birmingham,
birmingham (huffman/centerpoint),birmingham,huffman
birmingham (just south of),birmingham,just south of
birmingham (uk/birmingham),birmingham,uk
birmingham (uk/endland),birmingham,uk
birmingham (uk/england),birmingham,uk
birmingham (wisteria dr.&#44 .5 mi down),birmingham,wisteria dr44 5 mi down
bisbee,bisbee,
biscoe,biscoe,
bishipstone (near salisbury&#44 wilts) (uk/england),bishipstone,uk
bishkek (kyrgyzistan),bishkek,kyrgyzistan
bishop,bishop,
bishop (ca/nv border),bishop,ca
bishop (closest town),bishop,closest town
bishop (remote&#44 high sierras&#44 above),bishop,remote44 high sierras44 above
bishop (south of&#44 hwy 395),bishop,south of44 hwy 395
bishop (towards&#44 on route 395 north),bishop,towards44 on route 395 north
bishop auckland (uk/england),bishop auckland,uk
bishop auckland&#44 durham (uk/england),bishop auckland44 durham,uk
bishop/benton,bishopbenton,
bishop/mammoth lakes,bishopmammoth lakes,
bishops castle (uk/england),bishops castle,uk
bishops head,bishops head,
bishopstoke (uk/england),bishopstoke,uk
bishopville,bishopville,
bismarck,bismarck,
bismarck/caddo valley (between),bismarckcaddo valley,
bison,bison,
bispham (blackpool) (uk/england),bispham,blackpool uk
bisti,bisti,
bistolville,bistolville,
bitburg (germany),bitburg,germany
bithlo,bithlo,
bitola (macedonia),bitola,
bitterroot valley,bitterroot valley,
bixby south,bixby south,
bjaeverskov (dk 4632) (denmark),bjaeverskov,denmark
bjursas/falun (sweden),bjursasfalun,sweden
black canyon,black canyon,
black canyon (n. of&#44 on i-17,black canyon,
black canyon city,black canyon city,
black canyon city (5 miles n of),black canyon city,5 miles n of
black creek (canada),black creek,canada
black creek community,black creek community,
black diamond,black diamond,
black earth,black earth,
black forest,black forest,
black hawk,black hawk,
black hills,black hills,
black horse pike,black horse pike,
black mesa/shonto,black mesashonto,
black mountain,black mountain,
black river,black river,
black river falls,black river falls,
black rock,black rock,
black rock city,black rock city,
black rock city (near gerlach),black rock city,us
black shear,black shear,
black zion,black zion,
blackburn (uk/england),blackburn,uk
blackburn&#44 lancashire (30 mi. nw of manchester) (uk/england),blackburn44 lancashire,uk
blackburn&#44 lancashire (uk/england),blackburn44 lancashire,uk
blackduck/bemidji (between),blackduckbemidji,
blackfoot,blackfoot,
blackhawk,blackhawk,
blackhawk (north of),blackhawk,
blackheath (uk/england),blackheath,uk
blackjack (north st. louis co.),blackjack,north st louis co
blackpool (uk/england),blackpool,uk
blackpool&#44 lancashire (uk/england),blackpool44 lancashire,uk
blacksburg,blacksburg,
blackshear,blackshear,
blackstone,blackstone,
blacktown (suburb) (australia),blacktown,suburb australia
blackville,blackville,
blackwater,blackwater,
blackwell,blackwell,
blackwell (08 mi. north of),blackwell,08 mi north of
blackwood,blackwood,
bladel (brabant) (netherlands),bladel,netherlands
bladen,bladen,
bladensburg,bladensburg,
blain lake (canada),blain lake,canada
blaine,blaine,
blainsport,blainsport,
blairs,blairs,
blairsden,blairsden,
blairstown,blairstown,
blairsville,blairsville,
blanchard,blanchard,
blanchardstown (ireland),blanchardstown,ireland
blanchardville,blanchardville,
blanchester,blanchester,
blanco,blanco,
bland,bland,
blandford forum (uk/england),blandford forum,uk
blandon,blandon,
blanes (spain),blanes,spain
blankenberge (belgium),blankenberge,belgium
blasdell,blasdell,
blessington (wicklow) (ireland),blessington,ireland
blewett pass-top of mountain pass,blewett passtop of mountain pass,
blind bay (canada),blind bay,canada
blithe (around; about 15 mins after&#44 heading to la),blithe,
block island,block island,
blocker,blocker,
blockhouse (canada),blockhouse,canada
blocksburg,blocksburg,
bloemfontein (free state),bloemfontein,
bloemfontein(ofs) (south africa),bloemfontein,south africa
blood-vein river (canada),bloodvein river,canada
bloom township,bloom township,
bloomer,bloomer,
bloomfield,bloomfield,
bloomfield (canada),bloomfield,canada
bloomfield hills,bloomfield hills,
bloomfield-friendship (pittsburgh),bloomfieldfriendship,
bloomignton,bloomignton,
bloomingburg,bloomingburg,
bloomingburgh,bloomingburgh,
bloomingdale,bloomingdale,
bloominggrove,bloominggrove,
bloomington,bloomington,
bloomington (east bloomington),bloomington,east bloomington
bloomington (minneapolis),bloomington,minneapolis
bloomington/lake monroe,bloomingtonlake monroe,
bloomington/minneapolis,bloomingtonminneapolis,
bloomington/new unionville (between),bloomingtonnew unionville,
bloomsbug,bloomsbug,
bloomsburg,bloomsburg,
bloomsburg/white haven,bloomsburgwhite haven,
blossburg,blossburg,
blossburg (5 miles east of),blossburg,5 miles east of
blossom,blossom,
blossvale,blossvale,
blountsville,blountsville,
blountville,blountville,
blowing rock,blowing rock,
blue,blue,
blue ash,blue ash,
blue bell,blue bell,
blue diamond,blue diamond,
blue eye,blue eye,
blue hill,blue hill,
blue hills,blue hills,
blue island,blue island,
blue mound,blue mound,
blue mountains (australia),blue mountains,australia
blue point,blue point,
blue ridge,blue ridge,
blue ridge (close to),blue ridge,close to
blue ridge pkwy&#44 nc,blue ridge pkwy44 nc,
blue ridge summit,blue ridge summit,
blue ridge summit (area),blue ridge summit,area
blue river,blue river,
blue springs,blue springs,
blue springs (east of),blue springs,east of
bluebell,bluebell,
bluefield,bluefield,
bluefield/bland virginia,bluefieldbland virginia,
bluefield/green valley,bluefieldgreen valley,
bluepoint,bluepoint,
bluetown,bluetown,
bluewater lake,bluewater lake,
bluewater village,bluewater village,
bluff,bluff,
bluff city,bluff city,
bluffdale,bluffdale,
bluffton,bluffton,
bluffton (on collaton river),bluffton,
blum,blum,
blyth,blyth,
blyth (1hr outside of&#44 before tonopah&#44 nv),blyth,
blythe,blythe,
blythe (north of),blythe,north of
blythe/desert center (between),blythedesert center,
blytheville,blytheville,
blytheville (s of; southbound i-55),blytheville,s of southbound i55
blythewood,blythewood,
blyville,blyville,
boalsburg,boalsburg,
boardman,boardman,
boardman/canfield,boardmancanfield,
boaz,boaz,
bobcaygeon (canada),bobcaygeon,canada
bobtown,bobtown,
boca de uchire (venezuela),boca de uchire,venezuela
boca grande,boca grande,
boca raton,boca raton,
boca raton (military trail),boca raton,military trail
bocholt (germany),bocholt,germany
bochum (germany),bochum,germany
bodega bay,bodega bay,
bodie (near),bodie,near
bodie (state historic park),bodie,state historic park
bodie state park,bodie state park,
bodrum (turkey),bodrum,turkey
boerne,boerne,
boerne texas,boerne texas,
bogalusa,bogalusa,
bogart,bogart,
bogata,bogata,
bognor (uk/england),bognor,uk
bognor regis (uk/england),bognor regis,uk
bogor,bogor,
bohemia,bohemia,
boilgee,boilgee,
boiling springs,boiling springs,
boiling springs (outside of&#44 traveling on highway),boiling springs,outside of44 traveling on highway
bois d&#39arc,bois d39arc,
boise,boise,
boise (downtown area),boise,downtown area
bokchito,bokchito,
bokeelia,bokeelia,
boksburg (south africa),boksburg,south africa
bolingbrook,bolingbrook,
bolivar,bolivar,
bolivar (north of),bolivar,north of
bolivar - 170th &amp; 326th road junction,bolivar 170th amp 326th road junction,
boliver,boliver,
bolivia,bolivia,
bolton,bolton,
bolton (canada),bolton,canada
bolton (uk/england),bolton,uk
bolton landing,bolton landing,
bolton&#44 manchester (uk/england),bolton44 manchester,uk
bombay (india),bombay,india
bomoseen,bomoseen,
bon air,bon air,
bonaie,bonaie,
bonaire,bonaire,
bonanza,bonanza,
bonaparte,bonaparte,
bondurant,bondurant,
bonfield,bonfield,
bong son (viet nam),bong son,vietnam
bongaigaon (assam) (india),bongaigaon,india
bongaon (india),bongaon,india
bonham,bonham,
bonham (northeast of),bonham,northeast of
bonifay,bonifay,
bonifay (near),bonifay,near
bonita,bonita,
bonita springs,bonita springs,
bonita springs (in the east as seen from),bonita springs,in the east as seen from
bonmahon (county waterford (republic of ireland),bonmahon,ireland
bonne terre,bonne terre,
bonner,bonner,
bonner springs,bonner springs,
bonner springs (xxxx kreider rd),bonner springs,xxxx kreider rd
bonners ferry,bonners ferry,
bonneville salt flats,bonneville salt flats,
bonneville salt flats (salt lake city),bonneville salt flats,
bonneville salt flats (unincorp.),bonneville salt flats,
bonney lake,bonney lake,
bonney lake area,bonney lake area,
bonney lake/sumner,bonney lakesumner,
bonnybridge (uk/scotland),bonnybridge,uk
bonnyville (canada),bonnyville,canada
bono,bono,
bonsall,bonsall,
boomer,boomer,
boone,boone,
boone (vally crusis),boone,vally crusis
boone (west of),boone,west of
booneville,booneville,
boonsboro,boonsboro,
boonton,boonton,
boonton town,boonton town,
boonton twp,boonton twp,
boonville,boonville,
boothbay harbor,boothbay harbor,
boothwyn,boothwyn,
bootle (uk/england),bootle,uk
borden carleton (canada),borden carleton,canada
borden springs,borden springs,
borden/carlton (canada),bordencarlton,canada
bordentown,bordentown,
border,border,
borehamwood (uk/england),borehamwood,uk
borger,borger,
boring,boring,
bornem (belgium),bornem,belgium
boron,boron,
borrego,borrego,
borrego springs,borrego springs,
borrego springs (near),borrego springs,near
boscastle (cornwall) (uk/england),boscastle,cornwall uk
boscawen,boscawen,
boscobel,boscobel,
boskruin (johannesburg)( south africa),boskruin,south africa
bosler,bosler,
bosque,bosque,
bosque farms,bosque farms,
boss,boss,
bossier city,bossier city,
bossier parish (southern),bossier parish,
boston,boston,
boston (above),boston,above
boston (north of; on flight aa96 from),boston,north of on flight aa96 from
boston (northwest of),boston,northwest of
boston (uk/england),boston,uk
boston area,boston area,
boston location/hancock,boston locationhancock,
boston&#44 lincolnshire (uk/england),boston44 lincolnshire,uk
bothell,bothell,
bothell (northern sky),bothell,northern sky
bothell (south of),bothell,south of
botkins,botkins,
bottoms bridge,bottoms bridge,
boucherville (canada),boucherville,canada
boucherville (montreal) (canada),boucherville,montreal canada
boughton&#44 kent (uk/england),boughton44 kent,uk
boulder,boulder,
boulder  creek,boulder creek,
boulder (10 miles west),boulder,
boulder (foothills of),boulder,foothills of
boulder (gun barrel subdivision),boulder,gun barrel subdivision
boulder (near),boulder,near
boulder (north boulder),boulder,north boulder
boulder area (not sure: it was far away),boulder area,
boulder city,boulder city,
boulder creek,boulder creek,
boulder/niwot,boulderniwot,
bound brook,bound brook,
bound brook area,bound brook area,
boundary waters,boundary waters,
boundary waters canoe area,boundary waters canoe area,
bountiful,bountiful,
bourbonnais,bourbonnais,
bourbonnais/bradley,bourbonnaisbradley,
bourmouth (uk/england),bourmouth,uk
bourne,bourne,
bournemouth (uk/england),bournemouth,uk
bouse,bouse,
boutte,boutte,
bovey,bovey,
bovina,bovina,
bow,bow,
bow-edison,bowedison,
bowdoinham,bowdoinham,
bowie,bowie,
bowland&#44 lancashire (uk/england),bowland44 lancashire,uk
bowleys quarters,bowleys quarters,
bowling green,bowling green,
bowling green (plum springs),bowling green,plum springs
bowman,bowman,
bowmansville,bowmansville,
bowmanville (canada),bowmanville,canada
bowral (nsw&#44 australia),bowral,nsw44 australia
box elder (rocky boys&#39 indian agency),box elder,rocky boys39 indian agency
boxford,boxford,
boy scout camp royenea,boy scout camp royenea,
boyce,boyce,
boyce-sharp,boycesharp,
boyd,boyd,
boyden,boyden,
boydstown,boydstown,
boyertown,boyertown,
boyes hot springs,boyes hot springs,
boyne city,boyne city,
boyne city (rural),boyne city,rural
boyne falls,boyne falls,
boyne island (australia),boyne island,australia
boynton beach,boynton beach,
boynton beach/wellington,boynton beachwellington,
bozeman,bozeman,
bozeman (gallatin range),bozeman,gallatin range
bozeman (i-90 west&#44  20-30 miles before),bozeman,i90 west44 2030 miles before
bozeman/ belgrade,bozeman belgrade,
bozeman/belgrade (between),bozemanbelgrade,
bozeman/clyde park,bozemanclyde park,
bozrah,bozrah,
br&uuml;hl (germany),bruumlhl,germany
brabant (netherlands),brabant,netherlands
brabrand (denmark),brabrand,denmark
bracebridge (14 miles north of) (canada),bracebridge,
braceville,braceville,
brackettville,brackettville,
bracketville,bracketville,
brackley beach (canada),brackley beach,canada
bracknell (uk/england),bracknell,uk
braddock hills (pittsburgh),braddock hills,pittsburgh
bradenton,bradenton,
bradenton (northeast area of),bradenton,northeast area of
bradenton beach,bradenton beach,
bradenton/palmetto,bradentonpalmetto,
bradenton/sarasota,bradentonsarasota,
bradenville,bradenville,
bradford,bradford,
bradford (canada),bradford,canada
bradford (uk/england),bradford,uk
bradford (west yorkshire) (uk/england),bradford,west yorkshire uk
bradford&#44 west yorkshire (uk/england),bradford44 west yorkshire,uk
bradford/baildon moor (uk/england),bradfordbaildon moor,uk
bradley,bradley,
bradley beach,bradley beach,
bradshaw,bradshaw,
brady,brady,
brady (5 mi. north of),brady,5 mi north of
bradyville,bradyville,
braga (portugal),braga,portugal
bragg city  (peach orchard),bragg city,peach orchard
bragg creek (canada),bragg creek,canada
braggs,braggs,
braham,braham,
brainard (6 mi. e of; on hwy. 92),brainard,6 mi e of on hwy 92
brainerd,brainerd,
brainerd (near),brainerd,near
braintree,braintree,
braintree (uk/england),braintree,uk
braintree and raf weatherfield (between) (uk/england),braintree and raf weatherfield,uk
bramptom,bramptom,
brampton (canada),brampton,canada
brampton (near toronto) (canada),brampton,near toronto canada
branch,branch,
branchburg,branchburg,
branchdale,branchdale,
branchland,branchland,
branchport,branchport,
branchville,branchville,
brandenburg,brandenburg,
brandenton beach,brandenton beach,
brandford,brandford,
brandon,brandon,
brandon (canada),brandon,canada
brandon (county durham)(uk/england),brandon,county durhamuk
brandon (outside jackson),brandon,outside jackson
brandt,brandt,
brandywine,brandywine,
branford,branford,
branson,branson,
brant lake,brant lake,
brantford (canada),brantford,canada
brantley,brantley,
brasher falls,brasher falls,
brassall (australia),brassall,australia
bratenhaul,bratenhaul,
bratislava (slovakia),bratislava,slovakia
brattleboro,brattleboro,
brawley,brawley,
brawley (rest stop close to; near yuma),brawley,rest stop close to near yuma
bray,bray,
brazil,brazil,
brazoria,brazoria,
brea,brea,
brea (so.57 freeway),brea,so57 freeway
brean (sommerset) (uk/england),brean,sommerset uk
breaux bridge,breaux bridge,
brechin (canada),brechin,canada
breckenridge,breckenridge,
brecksville,brecksville,
brecksville (near),brecksville,near
bredenbury (canada),bredenbury,canada
breese,breese,
breezewood,breezewood,
breezy point,breezy point,
breinigsville,breinigsville,
bremen,bremen,
bremen (30 km south of) (germany),bremen,30 km south of germany
bremen (germany),bremen,germany
bremerton,bremerton,
bremerton (over),bremerton,over
bremham,bremham,
brenda,brenda,
brendon (uk/england),brendon,uk
brenham,brenham,
brent,brent,
brentwood,brentwood,
brentwood (contra costa),brentwood,contra costa
brentwood (northern ca),brentwood,northern ca
brentwood short&#39s lake (canada),brentwood short39s lake,canada
brentwood town (outside halifax) (canada),brentwood town,canada
brentwood&#44 essex (uk/england),brentwood44 essex,uk
brentwood/maplewood,brentwoodmaplewood,
brescia (italy),brescia,italy
bretton woods,bretton woods,
brevard,brevard,
brevard (near; lake toxaway),brevard,
brewer,brewer,
brewers bay&#44 tortola (british virgin islands),brewers bay44 tortola,
brewerton,brewerton,
brewster,brewster,
brewster/carmel,brewstercarmel,
brewton,brewton,
briarwood,briarwood,
briarwood (queens),briarwood,
bribie island  (australia),bribie island,australia
briceville,briceville,
brick,brick,
brick town,brick town,
brick township,brick township,
brick twp.,brick twp,
brick/lakewood/toms river,bricklakewoodtoms river,
brickerville,brickerville,
bricktown,bricktown,
bridge hampton,bridge hampton,
bridgehampton,bridgehampton,
bridgend,bridgend,
bridgend (7 miles outside cardiff) (uk/wales),bridgend,7 miles outside cardiff uk
bridgend (uk/england),bridgend,uk
bridgend (uk/wales),bridgend,uk
bridgenorth (canada),bridgenorth,canada
bridgeport,bridgeport,
bridgeport (pond flowing out of remington arms compound),bridgeport,pond flowing out of remington arms compound
bridgeport/fairfield,bridgeportfairfield,
bridgeport/lakeport,bridgeportlakeport,
bridgeport/stamford,bridgeportstamford,
bridgeport/trumbull,bridgeporttrumbull,
bridgeton,bridgeton,
bridgetown (barbados),bridgetown,barbados
bridgeview,bridgeview,
bridgeville,bridgeville,
bridgeville (near pittsburgh),bridgeville,near pittsburgh
bridgewater,bridgewater,
bridgewater (canada),bridgewater,canada
bridgewater (uk/england),bridgewater,uk
bridgewater corners,bridgewater corners,
bridgewater&#44 somerset (brent knowle) (uk/england),bridgewater44 somerset,uk
bridgewater&#44 somerset (uk/england),bridgewater44 somerset,uk
bridgman,bridgman,
bridgnorth (uk/england),bridgnorth,uk
bridgton,bridgton,
bridlington (e. riding) (uk/england),bridlington,e riding uk
bridlington (uk/england),bridlington,uk
brier,brier,
brier hill,brier hill,
brigantine,brigantine,
brigg (uk/england),brigg,uk
briggsville,briggsville,
brigham city,brigham city,
brigham city (west of),brigham city,west of
brigham city/ogden (between),brigham cityogden,
bright in,bright in,
brighton,brighton,
brighton (canada),brighton,canada
brighton (e. of&#44 n. of south lyon&#44 mi),brighton,e of44 n of south lyon44 mi
brighton (outside of),brighton,outside of
brighton (uk/england),brighton,uk
brighton (west of detroit),brighton,west of detroit
brighton plantation,brighton plantation,
brighton township,brighton township,
brightwaters,brightwaters,
brightwood,brightwood,
brimfield,brimfield,
brinktown,brinktown,
brinnon,brinnon,
brisbane (australia),brisbane,australia
brisbane (bay area) (qld&#44 australia),brisbane,bay area qld44 australia
brisbane (near) (queensland&#44 australia),brisbane,near queensland44 australia
brisbane (qld&#44 australia),brisbane,qld44 australia
brisbane (queensland&#44 australia),brisbane,queensland44 australia
brison city,brison city,
bristol,bristol,
bristol (avon) (uk/england),bristol,avon uk
bristol (uk/england),bristol,uk
bristol&#44 south gloucester (uk/england),bristol44 south gloucester,uk
bristol/canandaigua,bristolcanandaigua,
bristolville,bristolville,
bristow,bristow,
british virgin islands,british virgin islands,
brits (south africa),brits,south africa
britt,britt,
britton,britton,
brixham&#44 devon (uk/england),brixham44 devon,uk
brixham.devon (at sea.fishing) (uk/england),brixhamdevon,uk
brixworth&#44 northampton (uk/england),brixworth44 northampton,uk
broad brook,broad brook,
broad creek,broad creek,
broadalbin,broadalbin,
broaddus,broaddus,
broadelbin,broadelbin,
broadgate (jamaica),broadgate,jamaica
broadkill,broadkill,
broadlands,broadlands,
broadstairs (uk/england,broadstairs,uk
broadview,broadview,
broadview heights,broadview heights,
broadway,broadway,
broadway (uk/england),broadway,uk
brock,brock,
brockport,brockport,
brockton,brockton,
brockville (canada),brockville,canada
brockville (near) (canada),brockville,near canada
brockville (outside of&#44 before exit 687) (canada),brockville,outside of44 before exit 687 canada
brocton,brocton,
brodheadsville,brodheadsville,
brogue,brogue,
brohman,brohman,
broken arrow,broken arrow,
broken bow,broken bow,
broken hill,broken hill,
broken hill (australia),broken hill,australia
bromley (uk/england),bromley,uk
bromont (canada),bromont,canada
bromsgrove (uk/england),bromsgrove,uk
bronco,bronco,
bronte (near),bronte,near
bronxville,bronxville,
brook park,brook park,
brook park (w. cleveland),brook park,w cleveland
brookfield,brookfield,
brookhaven,brookhaven,
brookhaven hamlet,brookhaven hamlet,
brookings,brookings,
brookings (near),brookings,near
brookings harbor,brookings harbor,
brooklet,brooklet,
brooklin (canada),brooklin,canada
brookline,brookline,
brooklyn,brooklyn,
brooklyn (lake columbia area),brooklyn,lake columbia area
brooklyn center,brooklyn center,
brooklyn park,brooklyn park,
brookpark,brookpark,
brooks,brooks,
brooks (canada),brooks,canada
brookside,brookside,
brookston,brookston,
brooksville,brooksville,
brooksville (10 miles east of),brooksville,
brooksville (withlacoochie forest),brooksville,withlacoochie forest
brookville,brookville,
brookville/trotwood,brookvilletrotwood,
brookwood (uk/england),brookwood,uk
broomall,broomall,
broomfield,broomfield,
broomfield?lafayette,broomfieldlafayette,
broomfiled- standley lake,broomfiled standley lake,
brossard (canada),brossard,canada
brothers,brothers,
brough&#44 east yorkshire (uk/england),brough44 east yorkshire,uk
broughton astley&#44 leicestershire (uk/england),broughton astley44 leicestershire,uk
broughtontown,broughtontown,
broummana (lebanon),broummana,
browder,browder,
brown city,brown city,
brown deer,brown deer,
brownell,brownell,
brownfield,brownfield,
browning,browning,
brownlee (southwest of),brownlee,southwest of
browns mills,browns mills,
browns point,browns point,
browns summit,browns summit,
browns valley (oregon house),browns valley,oregon house
browns valley/marysville (near beale air force base),browns valleymarysville,
brownsburg,brownsburg,
brownsburg (speedway),brownsburg,speedway
brownsdale,brownsdale,
brownstown,brownstown,
brownstown (south of),brownstown,south of
brownsville,brownsville,
brownville,brownville,
brownwood,brownwood,
brownwood (rural area surrounding),brownwood,rural area surrounding
broxburn (uk/england),broxburn,uk
bruce,bruce,
bruce beach (canada),bruce beach,canada
bruceton mills,bruceton mills,
bruceville,bruceville,
brule,brule,
brumunddal (norway),brumunddal,norway
bruneau,bruneau,
bruneau/mountain home (between),bruneaumountain home,
brunne&#44 h&auml;rn&ouml;sand (sweden),brunne44 haumlrnoumlsand,sweden
brunswick,brunswick,
brunswick (mere point bay),brunswick,mere point bay
brunswick hills,brunswick hills,
brush,brush,
brush creek,brush creek,
brusly,brusly,
bry sur marne  (near paris) (france),bry sur marne,france
bryan,bryan,
bryant,bryant,
bryant creek&#44 rippe access,bryant creek44 rippe access,
bryant/benton,bryantbenton,
bryceville,bryceville,
bryn mawr,bryn mawr,
bryne (norway),bryne,norway
bryson,bryson,
bryson hesperia,bryson hesperia,
bucerias (nayarit) (mexico),bucerias,mexico
buchanan,buchanan,
buchanan  (or burns),buchanan,or burns
buchans (canada),buchans,canada
bucharest (romania),bucharest,romania
buchholz (germany),buchholz,germany
buchs (switzerland),buchs,switzerland
buck creek,buck creek,
buckeye,buckeye,
buckeye (1-10 milepost 107 heading eastbound,buckeye,
buckeye (outside),buckeye,outside
buckeye lake,buckeye lake,
buckfastleigh&#44 devon (uk/england),buckfastleigh44 devon,uk
buckhannon,buckhannon,
buckhaven&#44 fife (uk/scotland),buckhaven44 fife,uk
buckhead,buckhead,
buckhead ridge,buckhead ridge,
buckhead ridge (okeechobee),buckhead ridge,okeechobee
buckhorn,buckhorn,
buckhorn lake (canada),buckhorn lake,canada
buckingham,buckingham,
buckingham (canada),buckingham,canada
buckley,buckley,
buckner,buckner,
bucks,bucks,
bucks county (city not specified),bucks county,
bucksport,bucksport,
bucyrus (6 mi. sw of),bucyrus,6 mi sw of
buda,buda,
budapest (hungary),budapest,hungary
budd lake,budd lake,
bude,bude,
budel (netherlands),budel,netherlands
buehler (switzerland),buehler,switzerland
buellton,buellton,
buena park,buena park,
buena vista,buena vista,
buena vista (none around for miles),buena vista,none around for miles
buenas aeres (argentina),buenas aeres,argentina
buenos aires (almagro pale&#44 belgrano) (brazil),buenos aires,brazil
buenos aires (argentina),buenos aires,argentina
buffalo,buffalo,
buffalo (above),buffalo,above
buffalo (darren lake theme park),buffalo,darren lake theme park
buffalo (ne of),buffalo,ne of
buffalo (near),buffalo,near
buffalo (south of),buffalo,south of
buffalo (west of; on highway 90 west),buffalo,west of on highway 90 west
buffalo area (in-flight observation),buffalo area,
buffalo grove,buffalo grove,
buffalo pound provincial park (canada),buffalo pound provincial park,canada
buffalo valley,buffalo valley,
buffalo/amherst,buffaloamherst,
buffalo/freedom,buffalofreedom,
buffalo/williamsville,buffalowilliamsville,
bufod,bufod,
buford,buford,
buhl,buhl,
buies creek,buies creek,
buldana (india),buldana,india
bulgaria,bulgaria,
bull head city,bull head city,
bullet county (i-65),bullet county,
bullhead,bullhead,
bullhead city,bullhead city,
bullhead city/laughlin,bullhead citylaughlin,
bullhead city/phoenix (between),bullhead cityphoenix,
bulls gap,bulls gap,
bullskin,bullskin,
bulverde,bulverde,
bumpass,bumpass,
buna,buna,
bundaberg (australia),bundaberg,australia
bundaverg (australia),bundaverg,australia
bunker,bunker,
bunkie,bunkie,
bunn,bunn,
bunnell,bunnell,
bunnell/palm coast,bunnellpalm coast,
buras,buras,
burbage&#44 leicestershire (uk/england),burbage44 leicestershire,uk
burbank,burbank,
burbank (10-20 mins flight to),burbank,
burbank (east of),burbank,east of
burbank (outside of; near pasco),burbank,outside of near pasco
burbank heights,burbank heights,
burbank/glendale,burbankglendale,
burbank/glendale border,burbankglendale border,
burbank/los angeles,burbanklos angeles,
burdett,burdett,
burgaw,burgaw,
burgess hill (uk/england),burgess hill,uk
burgettstown,burgettstown,
burgin,burgin,
burhanpur (india,burhanpur,india
burien,burien,
burien (looking sw&#44 three tree point to vashon island),burien,looking sw44 three tree point to vashon island
burien (seattle),burien,seattle
burien/seatac,burienseatac,
burk&#39s falls (canada),burk39s falls,canada
burke,burke,
burke (north of),burke,north of
burkes garden,burkes garden,
burkesville,burkesville,
burkett,burkett,
burkeville,burkeville,
burleson,burleson,
burley,burley,
burlingame,burlingame,
burlingame state park,burlingame state park,
burlingame/san mateo (between),burlingamesan mateo,
burlington,burlington,
burlington (canada),burlington,canada
burlington (south of),burlington,south of
burlington township,burlington township,
burna,burna,
burnaby (canada),burnaby,canada
burnet,burnet,
burney,burney,
burneyville,burneyville,
burnham-on-crouch (uk/england),burnhamoncrouch,uk
burnley  (lancashire) (uk/england),burnley,lancashire uk
burnley (uk/england),burnley,uk
burns,burns,
burns (100 miles south of&#44 no city),burns,
burns harbor,burns harbor,
burns junction,burns junction,
burns junction (100 miles south of),burns junction,
